Name,Rating,Rating_Extremeness,Helpfulness,Helpfulness_Negative,Helpfulness_Positive,Verification,Amount_of_positive_attributes,Amount_of_negative_attributes,Amount_of_neutral_attributes,Total_amount_of_attributes,Total_amount_of_valent_attributes,Date_of_Review
darkology,5,2,18,1,19,0,8,0,0,8,8,2022-11-07
Henrietta_Chamalidou,3,0,-71,75,4,0,1,2,5,8,3,2023-09-09
Nuttech_Co_,2,1,-51,55,4,1,3,1,1,5,4,2023-09-05
Nuttech_Co_,2,1,-52,56,4,1,3,1,1,5,4,2023-09-05
arpa56,5,2,4,0,4,1,8,0,0,8,8,2024-01-16
gboletsis1977,5,2,10,0,10,0,8,0,0,8,8,2023-12-28
Henrietta_Chamalidou,3,0,-68,72,4,0,1,2,5,8,3,2023-09-09
Nuttech_Co_,2,1,-44,48,4,1,3,1,1,5,4,2023-09-05
Δημήτρης Καραντινόπουλος,5,2,12,1,13,1,7,0,1,8,7,2023-12-21
kgatz13,5,2,3,1,4,1,8,0,0,8,8,2023-12-12
THod_Tsi,2,1,-6,9,3,0,0,1,0,1,1,2023-11-27
Agathi_T_,5,2,-2,3,1,1,7,0,1,8,7,2023-11-08
Spyros Maris,3,0,4,1,5,1,6,0,2,8,6,2023-09-19
stelios1495976528,3,0,0,3,3,0,6,1,1,8,7,2023-09-15
Antonis_Christou9382,3,0,1,3,4,1,6,0,2,8,6,2023-07-25
Costas_Perivolarakis,2,1,-1,8,7,0,4,0,3,7,4,2023-07-13
lokakithedog,4,1,1,8,9,1,7,0,1,8,7,2023-05-02
manolis_,5,2,10,1,11,0,7,0,1,8,7,2023-04-20
Apostolis_Michailidis,5,2,4,3,7,0,7,0,1,8,7,2023-04-15
Kim_Man,5,2,6,2,8,1,8,0,0,8,8,2023-03-28
Dimitris_Dimitriadis,4,1,11,1,12,0,5,1,2,8,6,2023-02-27
Ducatisti92,5,2,31,1,32,0,8,0,0,8,8,2023-01-23
Scarab,5,2,7,10,17,0,8,0,0,8,8,2023-01-22
teok28,5,2,30,8,38,0,8,0,0,8,8,2023-01-14
mariomele95,5,2,12,6,18,0,8,0,0,8,8,2022-12-31
Vasilis_Fouroulis,5,2,16,1,17,1,7,0,1,8,7,2022-12-28
Petros 123,5,2,9,7,16,0,8,0,0,8,8,2022-12-27
Kostas Kritikos,2,1,-47,76,29,0,6,1,1,8,7,2022-12-26
Antonis/techitnews,5,2,-29,40,11,0,8,0,0,8,8,2022-12-09
aris_rapsomanikis,4,1,-134,145,11,0,7,0,1,8,7,2022-11-12
CHristos_CHatzinikos,5,2,0,1,1,0,7,0,1,8,7,2024-03-09
eri_bouraz,4,1,2,0,2,0,6,0,2,8,6,2024-02-28
Michalis M.,4,1,5,0,5,0,8,0,0,8,8,2024-02-27
kyriakidd,5,2,1,0,1,1,8,0,0,8,8,2024-02-25
snegov33,2,1,-5,6,1,1,2,1,5,8,3,2024-02-24
stamts78,2,1,-5,8,3,1,5,0,3,8,5,2024-01-15
tsardelidisa,4,1,8,0,8,1,7,0,1,8,7,2023-11-21
George Meachim,4,1,1,1,2,1,6,1,1,8,7,2023-11-21
Koutras_Georgios,5,2,0,1,1,1,8,0,0,8,8,2023-11-07
panos3313,4,1,2,0,2,0,6,1,1,8,7,2023-11-06
monoimoi,3,0,4,6,10,1,6,0,2,8,6,2023-08-29
nikosvar3d,4,1,8,4,12,1,5,0,3,8,5,2023-07-26
stavroula23,2,1,-54,61,7,1,1,3,1,5,4,2023-07-15
tariq.ante,5,2,0,6,6,0,7,0,1,8,7,2023-07-06
Alexis_Kefalas,3,0,-7,16,9,1,4,0,4,8,4,2023-06-27
solshp66,5,2,14,1,15,1,8,0,0,8,8,2023-06-16
Koutsibest,5,2,9,3,12,0,6,2,0,8,8,2023-06-15
kostadinos77,4,1,0,1,1,0,7,0,1,8,7,2023-06-09
tsardelidisa,4,1,8,0,8,1,7,0,1,8,7,2023-11-21
Panagiotis_Papadopoulos27,5,2,3,0,3,0,8,0,0,8,8,2024-03-07
ElpatronLT,5,2,0,1,1,1,7,0,1,8,7,2024-02-27
Aikkon,2,1,-40,44,4,0,3,2,3,8,5,2024-02-10
eleleft,2,1,2,11,13,0,4,2,2,8,6,2024-02-03
sinak7,5,2,31,0,31,1,8,0,0,8,8,2024-01-15
gramer961,2,1,-12,36,24,0,4,2,2,8,6,2023-12-23
Apostolos Batsaras,4,1,15,2,17,1,8,0,0,8,8,2023-12-16
kiriakidis.pm,5,2,12,3,15,1,7,0,0,7,7,2023-12-06
george.ts12345,5,2,0,0,0,0,7,0,0,7,7,2024-03-15
Panagiotis_Papadopoulos27,5,2,3,1,4,0,8,0,0,8,8,2024-03-07
Aikkon,2,1,-43,47,4,0,3,2,3,8,5,2024-02-10
eleleft,2,1,3,11,14,0,4,2,2,8,6,2024-02-03
oti_nane_Episis,1,2,-10,13,3,1,4,2,2,8,6,2024-03-03
ENKI2,5,2,3,1,4,0,8,0,0,8,8,2024-02-18
alikoudaki,5,2,24,1,25,0,8,0,0,8,8,2024-02-10
mgotsopoulos,3,0,-24,41,17,1,7,0,1,8,7,2024-01-04
Antonis/techitnews,4,1,10,21,31,0,7,0,1,8,7,2023-12-04
mitsiklas13,4,1,1,6,7,0,6,0,2,8,6,2023-11-28
Giannis70,2,1,-42,88,46,0,0,0,0,0,0,2023-11-10
oti_nane_Episis,1,2,-8,11,3,1,4,2,2,8,6,2024-03-03
ENKI2,5,2,2,1,3,0,8,0,0,8,8,2024-02-18
alikoudaki,5,2,23,1,24,0,8,0,0,8,8,2024-02-10
mgotsopoulos,3,0,-24,40,16,1,7,0,1,8,7,2024-01-04
oti_nane_Episis,1,2,-10,13,3,1,4,2,2,8,6,2024-03-03
oti_nane_Episis,1,2,-6,9,3,1,4,2,2,8,6,2024-03-03
alikoudaki,5,2,21,1,22,0,8,0,0,8,8,2024-02-10
mgotsopoulos,3,0,-23,39,16,1,7,0,1,8,7,2024-01-04
mitsiklas13,4,1,0,6,6,0,6,0,2,8,6,2023-11-28
e_p_M_M,4,1,0,0,0,1,8,0,0,8,8,2024-03-13
jbqwerty,5,2,1,0,1,1,6,0,0,6,6,2024-02-20
Nasosred,3,0,0,0,0,1,4,3,1,8,7,2024-02-15
bob731,3,0,0,0,0,1,1,3,3,7,4,2024-02-06
nantofs,5,2,2,0,2,1,6,2,0,8,8,2023-06-01
jdskarts,5,2,0,0,0,0,7,0,1,8,7,2023-09-25
Apostolhs_Vazouras,2,1,0,0,0,1,3,2,3,8,5,2023-05-17
gianna.aua,3,0,1,1,2,1,2,1,0,3,3,2023-03-30
George_Papadimitriou6635,1,2,0,0,0,0,0,8,0,8,8,2023-03-11
Zoi_Nona,3,0,1,0,1,0,3,2,3,8,5,2022-02-08
Kreshnik_Bataj,4,1,4,0,4,0,5,0,3,8,5,2022-07-18
maddie,5,2,1,0,1,0,8,0,0,8,8,2022-04-24
Blackbird1215,5,2,1,0,1,0,7,0,1,8,7,2022-04-03
Stef_Tz,5,2,1,0,1,0,6,0,2,8,6,2022-03-19
Kwnstantaras,4,1,2,0,2,0,7,0,1,8,7,2021-09-18
Andreas_Chas,5,2,2,1,3,0,8,0,0,8,8,2021-04-26
Gamer_Kama,5,2,4,0,4,0,8,0,0,8,8,2021-01-18
bill123456,5,2,3,0,3,0,8,0,0,8,8,2021-01-12
pakos6,5,2,2,0,2,0,7,0,1,8,7,2020-12-28
Giorgos_Daskalakis1552570066,4,1,1,1,2,0,7,0,1,8,7,2020-11-20
Kl_Mp,2,1,-3,7,4,0,3,1,3,7,4,2020-09-18
Giorgz,4,1,1,2,3,0,6,0,2,8,6,2020-08-10
odytil,5,2,3,0,3,1,8,0,0,8,8,2020-06-19
Mr_Trurh,5,2,4,1,5,0,8,0,0,8,8,2020-06-18
katapliktikos,5,2,-1,2,1,0,8,0,0,8,8,2020-06-10
Giannhs_AK47,5,2,2,0,2,0,8,0,0,8,8,2020-06-04
asteriskgr,5,2,-1,3,2,1,8,0,0,8,8,2020-05-16
Chrisa__ly,5,2,4,0,4,0,5,0,3,8,5,2020-03-22
giann.george,5,2,5,0,5,0,8,0,0,8,8,2020-02-05
Bill_The_Greek16,4,1,-6,9,3,0,6,0,2,8,6,2020-01-28
Panos_Adamopoulos,5,2,6,0,6,0,8,0,0,8,8,2020-01-23
Diavolicas,3,0,-3,10,7,0,3,1,4,8,4,2020-01-08
Marios_Tsoukalas,5,2,9,1,10,0,8,0,0,8,8,2019-12-17
ALEXANDROS_PAPADOPOULOS2,4,1,10,2,12,1,7,0,1,8,7,2019-10-29
sindromo,5,2,3,7,10,0,8,0,0,8,8,2019-10-20
GEORGIOS_DIMOU20,5,2,0,0,0,0,7,0,1,8,7,2024-02-15
steliosbats,5,2,0,0,0,0,8,0,0,8,8,2024-02-06
Georgia Evaggelia M.,5,2,1,0,1,0,8,0,0,8,8,2024-01-20
georgeavramidis25,5,2,0,0,0,0,7,0,1,8,7,2021-11-24
Eirini_Spi,5,2,3,1,4,0,8,0,0,8,8,2021-10-05
Eythymios_Kanellopoulos58,5,2,3,0,3,0,8,0,0,8,8,2021-08-05
dimitris.matsamakis,5,2,2,0,2,0,7,0,1,8,7,2021-04-10
Joni_Muka,5,2,6,0,6,0,6,0,1,7,6,2021-03-17
stefblog3,5,2,6,1,7,0,8,0,0,8,8,2021-02-06
dsoftas,5,2,5,0,5,0,7,0,1,8,7,2020-12-09
stefanos A.,5,2,5,1,6,0,8,0,0,8,8,2020-05-26
thanosdbfan,5,2,4,1,5,1,8,0,0,8,8,2020-05-18
Γιώργος βρ,5,2,4,1,5,0,8,0,0,8,8,2020-05-07
Tsiros07,4,1,-2,8,6,0,8,0,0,8,8,2020-05-06
Konstantinos_CHatzikonstantis,5,2,10,7,17,0,8,0,0,8,8,2020-04-09
DIMITRIS_PATELIS24,5,2,10,4,14,0,5,0,1,6,5,2020-03-31
Jar_Theo,5,2,14,4,18,1,8,0,0,8,8,2020-02-25
Apo. Koul.,5,2,9,1,10,1,6,0,1,7,6,2020-02-25
grgoofy,5,2,14,3,17,0,8,0,0,8,8,2020-01-31
egodemis,5,2,10,3,13,0,8,0,0,8,8,2019-12-28
dghasiotis,5,2,10,0,10,0,8,0,0,8,8,2019-11-18
Μητσάρας Στεργίου,5,2,11,2,13,0,6,0,2,8,6,2019-10-25
Ektoras_Nikolaou,5,2,11,12,23,0,7,0,0,7,7,2019-08-22
andreas.lyk,1,2,-3,3,0,1,3,4,1,8,7,2023-12-03
Margic199203_Sedouka,5,2,2,1,3,0,8,0,0,8,8,2023-11-20
nikimarilou,5,2,3,0,3,0,6,0,2,8,6,2023-11-11
Nikos_Papanikolaou1598953671,5,2,14,0,14,0,6,0,2,8,6,2023-05-02
nj.,5,2,3,1,4,1,6,0,1,7,6,2023-04-22
georgio1518,5,2,6,0,6,0,8,0,0,8,8,2023-02-19
aytokollita,1,2,-10,14,4,0,3,1,4,8,4,2023-02-09
geo_karol,1,2,-16,21,5,0,0,8,0,8,8,2023-01-17
GRX_Nikos,5,2,5,0,5,0,6,0,2,8,6,2022-12-23
Stavrakac,4,1,1,4,5,1,5,0,3,8,5,2022-11-14
VASILISS_MEGR,5,2,8,0,8,1,6,0,2,8,6,2022-10-02
gregv74,5,2,9,0,9,0,8,0,0,8,8,2022-09-30
Andreanaki,5,2,8,0,8,0,8,0,0,8,8,2022-09-08
GR1976,4,1,0,6,6,0,5,0,2,7,5,2022-08-30
odysseas_bair,5,2,8,0,8,1,8,0,0,8,8,2022-08-26
pepe_pepito6121,4,1,1,3,4,0,7,0,1,8,7,2022-08-14
xpal7377,4,1,-12,12,0,0,6,0,1,7,6,2022-06-25
chrysi13,2,1,-32,36,4,0,1,3,4,8,4,2022-06-17
Vasilis_Demos,5,2,14,0,14,1,8,0,0,8,8,2022-06-03
GEORGIOS_KANDRIS,5,2,1,2,3,1,8,0,0,8,8,2022-06-03
evi6400,4,1,-25,27,2,0,3,2,3,8,5,2022-05-25
Illuminatus,5,2,11,0,11,1,8,0,0,8,8,2022-05-10
man_katsara,5,2,14,2,16,0,8,0,0,8,8,2022-05-08
Mixalis T.,5,2,13,0,13,1,6,0,2,8,6,2022-04-21
aytokollita,1,2,-11,14,3,0,3,1,4,8,4,2023-02-09
manolo_manolopoulos,5,2,0,0,0,1,8,0,0,8,8,2024-02-10
kostasra,4,1,2,0,2,0,5,0,3,8,5,2023-12-12
elli_williams,3,0,-6,8,2,0,4,0,4,8,4,2023-11-01
Gerasimos_Stanitsas,4,1,7,0,7,0,6,0,2,8,6,2023-07-13
georgegalatianos,5,2,9,1,10,0,7,0,1,8,7,2023-04-14
MANOS_VRET,5,2,15,0,15,0,8,0,0,8,8,2023-04-04
PANOS_TSOKAS55,5,2,10,0,10,0,8,0,0,8,8,2023-03-24
georgeavramidis25,5,2,5,4,9,0,8,0,0,8,8,2023-02-20
kantonop,4,1,4,1,5,1,6,0,2,8,6,2023-02-07
aidinidi,5,2,25,1,26,0,8,0,0,8,8,2022-10-14
KOSTAS_STAYROPOULOS25,5,2,0,0,0,1,8,0,0,8,8,2024-02-27
elli_williams,3,0,-5,8,3,0,4,0,4,8,4,2023-11-01
IOANNISGLOBAL,3,0,-6,6,0,0,4,1,3,8,5,2024-02-05
konstantinoss71,5,2,5,0,5,0,8,0,0,8,8,2024-01-24
sakisanestidis1989,5,2,1,0,1,0,8,0,0,8,8,2024-01-17
danielbalko,5,2,6,0,6,1,7,0,1,8,7,2024-01-02
Gregory_Plaskasovitis,5,2,7,0,7,0,7,0,1,8,7,2023-12-24
Spyros_Kouris8536,4,1,10,3,13,0,7,0,1,8,7,2023-10-26
Steve_ThorogoodRockers,5,2,9,2,11,0,6,1,0,7,7,2023-10-26
MickPago,5,2,16,2,18,0,7,0,1,8,7,2023-10-19
Konstantina_PSalti8159,5,2,14,1,15,1,8,0,0,8,8,2023-08-19
IOANNISGLOBAL,1,2,-9,10,1,0,4,1,3,8,5,2024-02-05
konstantinoss71,5,2,6,2,8,0,8,0,0,8,8,2024-01-24
sakisanestidis1989,5,2,0,1,1,0,8,0,0,8,8,2024-01-17
MickPago,5,2,15,3,18,0,7,0,1,8,7,2023-10-19
Konstantina_PSalti8159,5,2,15,1,16,1,8,0,0,8,8,2023-08-19
mihalis_rethymno,5,2,-2,3,1,0,8,0,0,8,8,2024-02-02
nstivachtopoulos,4,1,1,0,1,1,6,0,2,8,6,2024-02-02
Anastasia_Armenatzoglou,5,2,1,0,1,0,8,0,0,8,8,2023-11-30
ElliCabri,5,2,8,1,9,0,6,0,2,8,6,2023-07-26
katrinpanth,4,1,0,0,0,1,6,0,0,6,6,2024-01-20
Mitso_kleas,5,2,0,0,0,1,7,0,1,8,7,2023-10-31
Natalia_CH_,4,1,0,0,0,0,3,0,5,8,3,2023-09-26
charilaos_taliadoros,4,1,1,1,2,0,7,0,1,8,7,2023-07-11
michael_Giannakoudakis,5,2,4,2,6,1,8,0,0,8,8,2022-12-27
eva_mos,5,2,2,0,2,1,7,0,1,8,7,2024-02-27
Eystathia_Mataraga,5,2,6,0,6,0,8,0,0,8,8,2024-02-02
BillPts,5,2,7,1,8,0,7,0,1,8,7,2024-01-09
AnzeloK,5,2,13,0,13,1,7,0,1,8,7,2023-12-22
stajor61,3,0,0,2,2,1,3,0,3,6,3,2023-11-27
melaxrinos9512,3,0,-15,25,10,0,4,0,3,7,4,2023-11-26
Athanasios_Chadimoglou,4,1,4,4,8,0,7,0,1,8,7,2023-11-03
giannis_koliatos9,4,1,2,1,3,1,0,0,2,2,0,2023-10-31
marwa_toumi,5,2,17,2,19,1,8,0,0,8,8,2023-10-27
Konstantinos_Mantzanas2980,5,2,33,0,33,0,8,0,0,8,8,2023-10-15
George_Tsitsis,5,2,18,3,21,0,7,0,1,8,7,2023-08-05
George_Nismo,4,1,29,0,29,1,7,0,1,8,7,2023-07-22
Sapadak,5,2,1,0,1,1,7,0,1,8,7,2023-08-29
peridi,4,1,20,1,21,1,5,0,3,8,5,2022-10-24
sakkatos,5,2,10,0,10,0,8,0,0,8,8,2022-08-08
fil_serpiko,4,1,7,0,7,0,4,0,4,8,4,2023-10-08
Flyer_travelboy,1,2,-3,7,4,0,1,3,3,7,4,2023-09-03
MARINA_8,4,1,0,0,0,1,6,0,2,8,6,2024-03-04
BalosC,4,1,9,1,10,0,7,0,1,8,7,2023-06-12
gerjmk,4,1,0,0,0,0,5,0,2,7,5,2023-04-20
Dimitris_Michalodimitrakis,5,2,0,0,0,0,8,0,0,8,8,2022-02-07
Tommy GR,5,2,5,0,5,0,8,0,0,8,8,2024-02-13
askme.inter,5,2,13,11,24,0,8,0,0,8,8,2023-06-26
Ann_Takamaki,5,2,5,0,5,0,8,0,0,8,8,2023-10-19
katalanosg1,1,2,2,3,5,0,4,2,2,8,6,2023-10-15
Aggeliki_Vamvaka28,2,1,1,2,3,0,1,4,3,8,5,2023-10-13
K_E2722,2,1,-6,10,4,0,4,1,3,8,5,2023-09-08
Thanasis_Tzalkov,5,2,2,1,3,1,7,0,1,8,7,2023-09-06
mathiu_83,2,1,-16,20,4,0,3,1,4,8,4,2023-04-21
geogatas,3,0,-13,21,8,0,2,3,3,8,5,2023-01-01
mikis__gr,5,2,0,0,0,0,6,0,2,8,6,2024-03-09
minasnikaia1965,1,2,-4,5,1,0,0,4,4,8,4,2024-01-12
fotis_strif,4,1,24,1,25,0,6,0,2,8,6,2023-07-15
Maria_Mairilou,2,1,-2,2,0,0,1,4,3,8,5,2024-01-03
Konstantina_Papavasileiou6818,5,2,0,1,1,0,6,0,2,8,6,2023-02-25
Marios_Mpotsaris,4,1,0,6,6,0,6,0,2,8,6,2022-09-25
g_iboss,5,2,12,2,14,0,7,1,0,8,8,2022-07-01
Christina Tzanne,3,0,-2,10,8,1,6,0,2,8,6,2022-05-25
georgets82,2,1,-7,16,9,1,4,0,4,8,4,2022-01-22
cardamis,5,2,24,5,29,0,8,0,0,8,8,2022-01-22
jean_vangreek,3,0,-4,18,14,0,4,0,4,8,4,2021-12-22
Laz4ros,4,1,-1,1,0,0,6,0,2,8,6,2024-02-11
Spyros_Triantopoulos,3,0,4,0,4,0,7,0,1,8,7,2023-12-25
thanoskaradontis,1,2,-14,17,3,0,4,1,3,8,5,2023-10-14
Konstantinos_Psomas,2,1,-27,33,6,0,1,0,0,1,1,2023-07-04
Maria_Maraki3044,1,2,-28,32,4,0,0,4,4,8,4,2023-07-02
georgemilios6,5,2,7,0,7,0,7,0,1,8,7,2023-06-27
Katia_Ts1152,3,0,-6,10,4,1,6,1,1,8,7,2023-06-16
giannisdil79,4,1,3,1,4,0,6,0,2,8,6,2023-06-10
ConstantineBarolas,5,2,5,0,5,0,7,0,1,8,7,2023-06-07
antonistsassis,5,2,4,0,4,0,7,0,1,8,7,2023-05-27
STRATOS_STRATOY,5,2,5,1,6,0,8,0,0,8,8,2023-04-06
Fenia_Vaciliadou,5,2,7,0,7,1,7,0,1,8,7,2023-04-04
ElenaElen,5,2,6,0,6,0,8,0,0,8,8,2023-03-27
Giannis_Kalimeris7634,4,1,4,0,4,0,1,0,0,1,1,2023-03-14
manoskoutsos,3,0,0,2,2,1,6,1,1,8,7,2023-03-11
Avalagne_RVA,5,2,3,2,5,1,7,0,1,8,7,2023-02-09
nm_1973,5,2,6,1,7,0,7,0,1,8,7,2023-02-07
L@mbr0s1986,5,2,5,2,7,1,8,0,0,8,8,2023-02-02
Ioannis_Tt__N_Galis_1_2_3_,3,0,-10,13,3,1,5,1,2,8,6,2023-02-01
kbaska65,4,1,1,0,1,1,7,0,1,8,7,2023-01-31
Jimangas,4,1,1,0,1,1,7,0,1,8,7,2023-01-31
rothgar666,5,2,3,1,4,0,8,0,0,8,8,2023-01-30
Mairav28,3,0,-1,3,2,0,7,1,0,8,8,2023-01-22
elunitta,5,2,12,0,12,0,8,0,0,8,8,2023-01-18
Pant Agiou,3,0,1,4,5,0,4,1,3,8,5,2023-01-18
sotiriafytopoulou,5,2,1,0,1,0,8,0,0,8,8,2024-02-04
Alexandros_Georgallis,2,1,0,1,1,0,3,2,3,8,5,2024-01-25
John_Havdi6950,3,0,0,2,2,0,5,0,3,8,5,2024-01-03
manoskolios,4,1,1,1,2,1,7,0,0,7,7,2023-12-26
09 15,2,1,-6,11,5,0,7,0,1,8,7,2023-10-04
nikxid,1,2,-6,13,7,0,1,3,4,8,4,2023-06-25
G68,4,1,3,1,4,0,7,1,0,8,8,2023-05-22
elenantonis,5,2,6,2,8,0,6,0,2,8,6,2023-05-11
gio2006,5,2,2,4,6,1,8,0,0,8,8,2023-05-02
CHristos_Ivanovits,5,2,7,1,8,1,8,0,0,8,8,2023-01-24
Jimgame75 YouTube,4,1,3,0,3,1,5,0,2,7,5,2023-01-16
Nikos_Daskoulias,3,0,0,7,7,1,3,1,4,8,4,2023-01-03
Sila_Lappa,5,2,12,1,13,1,7,0,1,8,7,2022-10-03
Anna_Maria_Gavala,4,1,10,3,13,0,5,0,3,8,5,2022-09-18
vksampis9598,5,2,8,3,11,0,8,0,0,8,8,2022-08-29
sylvester.trelone,5,2,3,7,10,1,8,0,0,8,8,2022-08-18
Antonis_Kritsimis,4,1,12,1,13,0,7,0,1,8,7,2022-07-19
vaggeliskalaitzis,3,0,-98,100,2,1,5,1,1,7,6,2022-06-13
Vivian_Lionaki,4,1,10,8,18,0,6,0,2,8,6,2022-04-29
nikospao13kappatos,1,2,-107,116,9,0,0,4,0,4,4,2022-04-08
Bananas_13,3,0,-1,1,0,0,2,4,2,8,6,2024-03-04
Anita_Vasileva26,1,2,-4,4,0,0,1,5,2,8,6,2023-06-15
voyla_voytsioti,4,1,-2,3,1,1,6,0,2,8,6,2023-03-08
zoxan14,4,1,-2,9,7,1,6,0,2,8,6,2022-10-30
SAPERE_AUDE,5,2,3,2,5,1,8,0,0,8,8,2022-10-11
thomas130170709,2,1,-3,8,5,0,3,1,4,8,4,2022-09-30
Spiros_Komninos,5,2,17,1,18,0,8,0,0,8,8,2022-09-03
gkfazer,4,1,6,1,7,0,7,0,1,8,7,2022-08-21
giannis93kar,5,2,13,1,14,0,8,0,0,8,8,2022-08-05
Eleni_Psochiou25,4,1,0,0,0,0,6,0,2,8,6,2023-12-31
beanpoleuk,1,2,-3,3,0,1,4,1,2,7,5,2023-09-13
ntinoyli,1,2,-9,9,0,0,0,5,3,8,5,2023-08-02
Makis_MENTIS802,5,2,3,0,3,0,8,0,0,8,8,2023-07-26
George_Georgako,5,2,10,1,11,1,7,0,1,8,7,2023-01-30
Alexandra_bm,2,1,-37,51,14,0,7,0,1,8,7,2023-01-23
Antonis/techitnews,4,1,6,0,6,0,5,0,3,8,5,2023-01-17
Lemonotiros_7,2,1,-34,42,8,0,3,1,4,8,4,2023-01-14
Kon_s_Games,3,0,1,2,3,0,5,0,3,8,5,2023-05-14
Masmanidouu,4,1,3,1,4,0,4,0,4,8,4,2023-01-04
Vasilis_Karagiannis5683,3,0,3,1,4,0,4,1,3,8,5,2022-07-18
cristos_economoy,5,2,2,1,3,0,8,0,0,8,8,2022-06-03
Stratoula_Kf_,5,2,4,2,6,1,8,0,0,8,8,2021-12-25
constantinosbou,1,2,-7,15,8,1,1,7,0,8,8,2021-11-06
maria_kara75,4,1,4,2,6,0,6,0,2,8,6,2021-10-16
Nikoletta_Paraskeyopoulou5731,4,1,2,2,4,1,5,0,3,8,5,2021-09-09
Rafail_Plomaritis,5,2,6,2,8,0,8,0,0,8,8,2021-08-16
DimitrisMstr,3,0,4,4,8,1,8,0,0,8,8,2021-08-05
Maria_Anna_Vryza,4,1,-2,6,4,0,5,1,2,8,6,2021-07-24
vasilikikatr,2,1,-2,11,9,0,5,1,2,8,6,2021-07-19
raje_jatti,3,0,3,2,5,1,3,0,5,8,3,2021-06-30
Thanasis_Balampos,5,2,5,1,6,1,6,0,2,8,6,2021-06-19
Nona_Gkava,5,2,7,1,8,0,8,0,0,8,8,2021-04-22
ionastemperikidis,5,2,7,1,8,0,8,0,0,8,8,2021-04-17
KATOURIMA_BY_ME,5,2,13,3,16,0,8,0,0,8,8,2021-04-02
sav990el,5,2,8,1,9,0,7,0,0,7,7,2021-04-01
Dionysis_Loukissas,5,2,11,1,12,0,8,0,0,8,8,2021-03-23
georgestargeorges,4,1,3,2,5,0,5,0,3,8,5,2021-03-20
Sofia_Nitos,1,2,-38,47,9,0,2,4,2,8,6,2021-03-06
Aggelos xrus,5,2,7,2,9,0,7,0,1,8,7,2021-03-03
Vasilis_Liapis,2,1,-1,11,10,0,4,2,2,8,6,2021-03-01
akisgeorg70,4,1,14,0,14,1,8,0,0,8,8,2021-02-16
kwnna_tsiatou,5,2,10,1,11,0,6,0,1,7,6,2021-02-12
Efi_Ntzanou,3,0,-2,12,10,0,5,0,3,8,5,2021-01-14
tafeas,5,2,14,2,16,0,8,0,0,8,8,2021-01-11
Chris_Kouklidis,4,1,9,3,12,0,7,0,1,8,7,2021-01-05
xatzitakis_t,5,2,3,0,3,0,8,0,0,8,8,2024-02-02
Gio_Kef,5,2,2,0,2,0,8,0,0,8,8,2024-01-23
Hellenic_Soul,5,2,2,0,2,0,7,0,1,8,7,2023-12-11
Dimitris_Lefakis,5,2,9,0,9,0,8,0,0,8,8,2023-11-11
Sof_Laney,4,1,5,0,5,0,7,1,0,8,8,2023-09-25
mairy-kyr,5,2,5,0,5,0,7,1,0,8,8,2023-08-06
HumaHuma,4,1,4,0,4,0,7,0,1,8,7,2023-05-05
Sphinx,5,2,8,0,8,0,8,0,0,8,8,2023-04-14
Christos_Voliotis,5,2,3,2,5,0,7,0,1,8,7,2023-03-07
manos_dimitrakopoulos,5,2,7,0,7,0,8,0,0,8,8,2023-03-04
Chris_Jayson,5,2,19,0,19,0,8,0,0,8,8,2022-12-03
nikospap913340,5,2,14,0,14,0,8,0,0,8,8,2022-09-16
ocean82,4,1,15,0,15,0,6,0,2,8,6,2022-04-29
Stavros_Mountrakis,5,2,11,0,11,1,6,1,0,7,7,2022-02-18
giannis_papad850,3,0,-43,47,4,0,4,1,3,8,5,2022-01-18
loubis70_gmail_com,4,1,7,0,7,1,7,0,1,8,7,2021-08-14
Dim_Kon9363,5,2,10,0,10,0,7,0,1,8,7,2021-07-17
penelope.karetsou,5,2,4,0,4,0,8,0,0,8,8,2020-11-10
konavg,4,1,0,5,5,0,7,0,1,8,7,2020-11-01
dionisis.pokeras,4,1,6,0,6,1,7,0,1,8,7,2020-10-20
anwnumous_ex,4,1,-3,6,3,0,7,0,1,8,7,2020-10-13
PanagiotisF,5,2,4,0,4,0,8,0,0,8,8,2020-10-10
makidio,5,2,0,0,0,0,5,0,3,8,5,2024-02-28
Dr_Manos69,4,1,4,1,5,0,5,1,2,8,6,2023-10-07
Παναγιωτης Λ,5,2,3,1,4,0,8,0,0,8,8,2023-09-08
Anna_Kondα,5,2,5,0,5,0,8,0,0,8,8,2023-07-20
Aggelos_Llucis,5,2,3,0,3,1,8,0,0,8,8,2023-07-19
mparoudas.spiros,5,2,3,0,3,0,7,0,1,8,7,2023-06-14
Manoloud007,5,2,3,0,3,0,7,0,1,8,7,2023-06-09
Notis_Paminos,5,2,5,0,5,0,8,0,0,8,8,2023-02-11
Maria_Karakike3568,3,0,-11,13,2,1,3,3,2,8,6,2022-08-16
Nikos_Markopoulos1398,5,2,7,0,7,0,7,0,1,8,7,2022-08-14
GIORGOS_552,5,2,3,0,3,0,4,0,4,8,4,2022-06-06
Lefteris_Vartalas,5,2,1,1,2,0,8,0,0,8,8,2022-05-25
J_K_gamers,5,2,8,0,8,0,8,0,0,8,8,2022-03-29
greek_general3825,1,2,-32,35,3,0,1,4,3,8,5,2022-02-10
Marianna_Lytra,1,2,-3,7,4,0,1,6,1,8,7,2021-10-20
Sophia_Papapetrou,5,2,10,1,11,0,7,0,1,8,7,2021-08-01
